#Datum,Uhrzeit,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Pdc3,Udc1,Udc2,Udc3,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Pdc3,Udc1,Udc2,Udc3,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Pdc3,Udc1,Udc2,Udc3,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Uac,WR,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Temp,Uac
15.08.16,19:45:00,1,0,30634,0,0,0,0,1,224,224,224,0,2,0,29940,0,0,0,0,0,199,199,199,0,3,0,30060,0,0,0,0,0,169,169,169,0,4,0,41225,1,0,0,0,335,335,0,5,0,28217,0,0,0,0,242,242,0,6,0,27784,0,0,0,1,223,223,0,7,0,28066,0,0,0,1,240,240,0,8,0,42308,1,0,5,6,329,329,0,9,0,20393,0,0,0,0,132,132,0,10,0,24787,7,0,0,0,229,199,23,226
15.08.16,19:40:00,1,0,30634,1,0,0,0,2,312,311,312,0,2,0,29940,1,0,0,0,0,309,301,306,0,3,0,30060,1,0,0,0,0,286,287,285,0,4,0,41225,1,0,0,0,427,426,0,5,0,28217,1,0,0,0,432,433,0,6,0,27784,1,0,0,2,430,429,0,7,0,28066,1,0,0,3,405,411,22,8,0,42308,1,0,7,9,433,432,0,9,0,20393,1,0,0,0,317,317,0,10,0,24787,7,0,0,0,317,224,24,226
15.08.16,19:35:00,1,1,30634,1,0,3,3,5,232,215,219,185,2,1,29940,1,0,1,3,3,239,225,227,159,3,0,30060,1,0,1,1,1,307,296,286,57,4,3,41225,1,0,7,5,393,392,160,5,0,28217,1,0,0,0,478,480,11,6,1,27784,1,0,3,6,370,368,159,7,1,28066,3,0,4,8,272,344,228,8,2,42308,1,0,16,12,440,470,129,9,0,20393,1,0,0,0,361,361,0,10,0,24787,7,0,0,0,341,233,24,226
15.08.16,19:30:00,1,7,30634,3,0,6,5,10,194,184,231,228,2,6,29940,3,0,4,7,7,187,183,176,228,3,7,30060,3,0,6,7,6,239,213,184,228,4,14,41225,3,0,16,11,400,402,229,5,6,28217,3,0,5,8,290,306,228,6,8,27784,3,0,10,13,356,373,228,7,8,28066,3,0,9,12,299,330,228,8,10,42308,3,0,28,16,442,496,228,9,2,20393,1,0,5,4,276,244,159,10,4,24787,7,0,16,12,295,200,24,227
15.08.16,19:25:00,1,14,30634,3,0,9,9,12,193,193,234,228,2,13,29940,3,0,7,10,10,199,188,191,228,3,15,30060,3,0,9,11,9,244,250,192,228,4,27,41225,3,0,25,15,412,427,229,5,14,28217,3,0,9,12,302,343,229,6,15,27784,3,0,13,17,334,365,228,7,15,28066,3,0,13,16,333,323,228,8,27,42308,3,0,39,23,443,484,228,9,6,20393,3,0,11,8,242,185,228,10,13,24787,1,0,20,16,299,199,24,228
15.08.16,19:20:00,1,24,30634,3,0,11,13,17,202,238,253,229,2,23,29940,3,0,8,16,14,178,249,201,228,3,27,30060,3,0,13,14,15,250,210,239,228,4,40,41223,3,0,33,20,425,435,229,5,23,28217,3,0,12,18,301,400,229,6,24,27784,3,0,19,20,363,334,228,7,20,28066,3,0,16,19,301,294,228,8,40,42306,3,0,50,27,430,503,228,9,12,20393,3,0,11,12,197,257,228,10,20,24785,1,0,25,18,298,199,25,228
15.08.16,19:15:00,1,37,30632,3,0,12,20,22,188,288,262,229,2,33,29938,3,0,11,19,20,183,200,213,229,3,41,30058,3,0,14,20,24,212,208,261,228,4,57,41220,3,0,43,27,420,478,229,5,26,28216,3,0,14,20,278,350,229,6,32,27782,3,0,22,25,343,359,228,7,25,28066,3,0,17,23,255,327,229,8,53,42302,3,0,58,33,448,493,229,9,16,20393,3,0,13,15,194,271,228,10,26,24784,1,0,28,20,305,202,25,228
15.08.16,19:10:00,1,50,30629,3,0,14,26,29,182,268,251,228,2,55,29935,3,0,15,30,30,187,244,247,228,3,57,30054,3,0,19,27,30,213,202,231,228,4,75,41215,3,0,54,37,370,470,229,5,31,28214,3,0,18,22,307,315,228,6,36,27779,3,0,26,25,339,311,228,7,34,28064,3,0,22,27,324,340,228,8,64,42298,3,0,66,38,458,477,228,9,15,20393,3,0,14,14,190,202,227,10,33,24782,1,0,33,22,304,204,25,228
15.08.16,19:05:00,1,64,30625,3,0,16,32,37,188,227,242,228,2,84,29931,3,0,22,41,43,210,258,285,228,3,88,30049,3,0,29,38,43,233,226,261,228,4,109,41209,3,0,76,49,367,431,229,5,37,28211,3,0,21,24,316,332,228,6,42,27776,3,0,27,31,319,362,228,7,32,28061,3,0,18,29,221,322,228,8,77,42292,3,0,74,43,455,497,228,9,25,20393,3,0,21,17,276,221,228,10,40,24779,1,0,38,25,337,203,25,228
15.08.16,19:00:00,1,88,30619,3,0,23,38,51,261,223,273,229,2,119,29924,3,0,30,57,56,218,307,314,228,3,132,30042,3,0,43,57,57,273,286,289,228,4,178,41199,3,0,118,80,399,455,229,5,48,28208,3,0,27,29,383,360,228,6,51,27773,3,0,32,37,337,358,228,7,40,28058,3,0,25,32,281,300,228,8,100,42286,3,0,90,53,462,506,228,9,31,20391,3,0,22,21,246,243,227,10,49,24775,1,0,45,27,350,204,26,228
