,cloudCover,dewPoint,humidity,ozone,pressure,temp,uvIndex,visibility,windBearing,windGust,windSpeed
2018-05-10 08:55:00,0.44,50.01,0.78,,1013.68,56.9,,6.06,210,,5.34
2018-05-10 08:50:00,0.44,50.03,0.79,,1013.67,56.6,,5.9,210,,4.85
2018-05-10 08:55:00,0.44,50.01,0.78,,1013.68,56.9,,6.06,210,,5.34
2018-05-10 09:00:00,0.44,49.99,0.77,,1013.7,57.2,,6.22,210,,5.82
2018-05-10 09:05:00,0.44,49.99,0.76,,1013.69,57.35,,6.22,210,,6.01
2018-05-10 09:10:00,0.44,50.0,0.76,,1013.69,57.5,,6.22,210,,6.19
2018-05-10 09:15:00,0.44,50.0,0.76,,1013.69,57.65,,6.22,210,,6.38
2018-05-10 09:20:00,0.44,50.0,0.75,,1013.68,57.8,,6.22,210,,6.56
2018-05-10 09:25:00,0.44,50.0,0.75,,1013.68,57.95,,6.22,210,,6.75
2018-05-10 09:30:00,0.44,50.0,0.74,,1013.68,58.1,,6.22,210,,6.93
2018-05-10 09:35:00,0.44,50.0,0.74,,1013.67,58.25,,6.22,210,,7.12
2018-05-10 09:40:00,0.44,50.0,0.74,,1013.67,58.4,,6.22,210,,7.3
2018-05-10 09:45:00,0.44,50.0,0.73,,1013.67,58.55,,6.22,210,,7.49
2018-05-10 09:50:00,0.44,50.0,0.73,,1013.66,58.7,,6.22,210,,7.67
2018-05-10 09:55:00,0.44,49.99,0.72,,1013.66,58.85,,6.22,210,,7.86
2018-05-10 10:00:00,0.44,49.99,0.72,,1013.66,59.0,,6.22,210,,8.05
2018-05-10 10:05:00,0.44,50.01,0.71,,1013.64,59.3,,6.22,211,,8.22
2018-05-10 10:10:00,0.44,50.02,0.71,,1013.62,59.6,,6.22,212,,8.4
2018-05-10 10:15:00,0.44,50.03,0.7,,1013.6,59.9,,6.22,213,,8.58
2018-05-10 10:20:00,0.44,50.04,0.69,,1013.58,60.2,,6.22,214,,8.76
2018-05-10 10:25:00,0.44,50.05,0.68,,1013.56,60.5,,6.22,215,,8.94
2018-05-10 10:30:00,0.44,50.05,0.68,,1013.54,60.8,,6.22,216,,9.13
2018-05-10 10:35:00,0.44,50.05,0.67,,1013.52,61.1,,6.22,217,,9.32
2018-05-10 10:40:00,0.44,50.04,0.66,,1013.5,61.4,,6.22,218,,9.51
2018-05-10 10:45:00,0.44,50.03,0.66,,1013.48,61.7,,6.22,218,,9.7
2018-05-10 10:50:00,0.44,50.02,0.65,,1013.46,61.99,,6.22,219,,9.9
2018-05-10 10:55:00,0.44,50.0,0.64,,1013.44,62.29,,6.22,220,,10.09
