,cloudCover,dewPoint,humidity,ozone,pressure,temp,uvIndex,visibility,windBearing,windGust,windSpeed
2018-03-15 00:00:00,0.38,37.61,0.79,,1010.95,42.42,0,6.22,238,7.99,3.03
2018-07-01 00:00:00,0.36,49.98,0.63,,1009.85,62.9,0,6.22,333,,3.95
2018-07-01 00:05:00,0.36,49.99,0.63,,1009.85,62.75,0,6.22,335,,3.85
2018-07-01 00:10:00,0.36,49.99,0.63,,1009.84,62.6,0,6.22,338,,3.75
2018-07-01 00:15:00,0.36,50.0,0.64,,1009.83,62.45,0,6.22,341,,3.66
2018-07-01 00:20:00,0.36,50.0,0.64,,1009.82,62.3,0,6.22,344,,3.59
2018-07-01 00:25:00,0.36,50.0,0.64,,1009.82,62.15,0,6.22,347,,3.52
2018-07-01 00:30:00,0.36,50.0,0.65,,1009.81,62.0,0,6.22,350,,3.46
2018-07-01 00:35:00,0.36,50.0,0.65,,1009.8,61.85,0,6.22,353,,3.41
2018-07-01 00:40:00,0.36,50.0,0.65,,1009.8,61.7,0,6.22,357,,3.38
2018-07-01 00:45:00,0.36,50.0,0.66,,1009.79,61.55,0,6.22,0,,3.36
2018-07-01 00:50:00,0.36,49.99,0.66,,1009.78,61.41,0,6.22,4,,3.34
2018-07-01 00:55:00,0.36,49.99,0.66,,1009.78,61.26,0,6.22,7,,3.35
2018-07-01 01:00:00,0.36,49.99,0.67,,1009.77,61.11,0,6.22,11,,3.36
2018-07-01 01:05:00,0.36,49.84,0.66,,1009.76,61.11,0,6.22,11,,3.08
2018-07-01 01:10:00,0.36,49.7,0.66,,1009.75,61.11,0,6.22,11,,2.8
2018-07-01 01:15:00,0.36,49.55,0.66,,1009.74,61.11,0,6.22,11,,2.52
2018-07-01 01:20:00,0.36,49.4,0.65,,1009.73,61.11,0,6.22,11,,2.24
2018-07-01 01:25:00,0.36,49.26,0.65,,1009.72,61.11,0,6.22,11,,1.96
2018-07-01 01:30:00,0.36,49.11,0.65,,1009.71,61.11,0,6.22,11,,1.68
2018-07-01 01:35:00,0.36,48.96,0.64,,1009.7,61.11,0,6.22,11,,1.4
2018-07-01 01:40:00,0.36,48.81,0.64,,1009.69,61.11,0,6.22,11,,1.12
2018-07-01 01:45:00,0.35,48.66,0.64,,1009.68,61.11,0,6.22,11,,0.84
2018-07-01 01:50:00,0.35,48.51,0.63,,1009.68,61.11,0,6.22,11,,0.56
2018-07-01 01:55:00,0.35,48.35,0.63,,1009.67,61.11,0,6.22,11,,0.28
2018-07-01 02:00:00,0.35,48.2,0.63,,1009.66,61.11,0,6.22,,,0.0
2018-07-01 02:05:00,0.35,48.37,0.63,,1009.65,60.96,0,6.22,,,0.0
2018-07-01 02:10:00,0.35,48.53,0.64,,1009.64,60.81,0,6.22,,,0.0
2018-07-01 02:15:00,0.35,48.69,0.65,,1009.64,60.66,0,6.22,,,0.0
2018-07-01 02:20:00,0.35,48.85,0.65,,1009.63,60.51,0,6.22,,,0.0
2018-07-01 02:25:00,0.35,49.0,0.66,,1009.63,60.36,0,6.22,,,0.0
2018-07-01 02:30:00,0.35,49.15,0.67,,1009.62,60.21,0,6.22,,,0.0
2018-07-01 02:35:00,0.35,49.3,0.68,,1009.61,60.05,0,6.22,,,0.0
2018-07-01 02:40:00,0.35,49.44,0.68,,1009.61,59.9,0,6.22,,,0.0
2018-07-01 02:45:00,0.35,49.58,0.69,,1009.6,59.75,0,6.22,,,0.0
2018-07-01 02:50:00,0.35,49.72,0.7,,1009.6,59.6,0,6.22,,,0.0
2018-07-01 02:55:00,0.35,49.86,0.71,,1009.59,59.45,0,6.22,,,0.0
2018-07-01 03:00:00,0.35,49.99,0.71,,1009.58,59.3,0,6.22,,,0.0
2018-07-01 03:05:00,0.35,49.84,0.71,,1009.59,59.3,0,6.22,50,,0.28
2018-07-01 03:10:00,0.35,49.7,0.7,,1009.59,59.3,0,6.22,50,,0.56
2018-07-01 03:15:00,0.35,49.55,0.7,,1009.59,59.3,0,6.22,50,,0.84
2018-07-01 03:20:00,0.35,49.4,0.7,,1009.59,59.3,0,6.22,50,,1.12
2018-07-01 03:25:00,0.35,49.26,0.69,,1009.59,59.3,0,6.22,50,,1.4
2018-07-01 03:30:00,0.35,49.11,0.69,,1009.6,59.3,0,6.22,50,,1.68
2018-07-01 03:35:00,0.35,48.96,0.69,,1009.6,59.3,0,6.22,50,,1.96
2018-07-01 03:40:00,0.35,48.81,0.68,,1009.6,59.3,0,6.22,50,,2.24
2018-07-01 03:45:00,0.35,48.66,0.68,,1009.6,59.3,0,6.22,50,,2.52
