,cloudCover,dewPoint,humidity,ozone,pressure,temp,uvIndex,visibility,windBearing,windGust,windSpeed
2018-03-15 00:00:00,0.44,36.53,0.76,,1015.82,40.56,,6.22,179,7.99,5.22
2018-03-15 00:05:00,0.44,36.53,0.76,,1015.82,40.54,,6.22,181,7.99,5.17
2018-03-15 00:10:00,0.44,36.53,0.76,,1015.81,40.5,,6.22,184,7.99,5.12
2018-03-15 00:15:00,0.44,36.53,0.76,,1015.8,40.46,,6.22,186,7.99,5.09
2018-03-15 00:20:00,0.44,36.53,0.77,,1015.79,40.41,,6.22,189,7.99,5.06
2018-03-15 00:25:00,0.44,36.53,0.77,,1015.79,40.36,,6.22,192,7.99,5.05
2018-03-15 00:30:00,0.44,36.53,0.77,,1015.78,40.3,,6.22,194,7.99,5.04
2018-03-15 00:35:00,0.44,36.53,0.77,,1015.77,40.23,,6.22,197,7.99,5.05
2018-03-15 00:40:00,0.44,36.53,0.77,,1015.77,40.15,,6.22,199,7.99,5.06
2018-03-15 00:45:00,0.44,36.53,0.77,,1015.76,40.07,,6.22,202,7.99,5.09
2018-03-15 00:50:00,0.44,36.53,0.78,,1015.75,39.98,,6.22,204,7.99,5.12
2018-03-15 00:55:00,0.44,36.53,0.78,,1015.75,39.88,,6.22,207,7.99,5.17
2018-03-15 01:00:00,0.44,36.53,0.78,,1015.74,39.78,,6.22,209,7.99,5.22
2018-03-15 01:05:00,0.44,36.53,0.78,,1015.73,39.79,,6.22,209,7.99,5.13
2018-03-15 01:10:00,0.44,36.53,0.78,,1015.72,39.8,,6.22,208,7.99,5.03
2018-03-15 01:15:00,0.44,36.53,0.78,,1015.71,39.81,,6.22,208,7.99,4.94
2018-03-15 01:20:00,0.44,36.53,0.78,,1015.7,39.82,,6.22,207,7.99,4.85
2018-03-15 01:25:00,0.44,36.53,0.79,,1015.69,39.83,,6.22,207,7.99,4.76
2018-03-15 01:30:00,0.44,36.53,0.79,,1015.68,39.85,,6.22,206,7.99,4.67
2018-03-15 01:35:00,0.44,36.53,0.79,,1015.67,39.86,,6.22,205,7.99,4.58
2018-03-15 01:40:00,0.44,36.53,0.79,,1015.66,39.88,,6.22,205,7.99,4.49
2018-03-15 01:45:00,0.44,36.53,0.79,,1015.65,39.89,,6.22,204,7.99,4.4
2018-03-15 01:50:00,0.44,36.53,0.79,,1015.64,39.91,,6.22,204,7.99,4.31
2018-03-15 01:55:00,0.44,36.53,0.79,,1015.63,39.93,,6.22,203,7.99,4.23
2018-03-15 02:00:00,0.44,36.53,0.8,,1015.62,39.95,,6.22,202,7.99,4.14
2018-03-15 02:05:00,0.44,36.51,0.8,,1015.62,39.96,,6.22,201,7.82,4.05
2018-03-15 02:10:00,0.44,36.49,0.8,,1015.61,39.97,,6.22,200,7.66,3.96
2018-03-15 02:15:00,0.44,36.46,0.8,,1015.6,39.98,,6.22,199,7.49,3.88
2018-03-15 02:20:00,0.44,36.44,0.8,,1015.6,39.99,,6.22,198,7.33,3.79
2018-03-15 02:25:00,0.44,36.42,0.8,,1015.59,40.0,,6.22,197,7.16,3.71
2018-03-15 02:30:00,0.44,36.4,0.8,,1015.58,40.01,,6.22,196,7.0,3.63
2018-03-15 02:35:00,0.44,36.38,0.8,,1015.58,40.02,,6.22,195,6.83,3.55
