1533115500,38601
1533115200,38958
1533114900,38771
1533114600,19991
1533114300,9596
1533114000,19319
1533113700,35853
1533113400,37078
1533113100,36177
1533112800,36167
1533112500,36733
1533112200,36471
1533111900,35904
1533111600,35639
1533111300,34898
1533111000,34036
1533110700,33174
1533110400,34502
1533110100,34026
1533109800,33793
1533109500,34107
1533109200,32933
1533108900,31899
1533108600,31007
1533108300,31877
1533108000,31548
1533107700,24378
1533107400,28057
1533107100,29203
1533106800,28760
1533106500,28491
1533106200,27691
1533105900,27087
1533105600,26423
1533105300,25812
1533105000,25233
1533104700,24558
1533104400,23971
1533104100,23440
1533103800,22702
1533103500,22078
1533103200,21332
1533102900,20734
1533102600,20087
1533102300,19361
1533102000,18527
1533101700,17606
1533101400,16959
1533101100,16406
1533100800,15512
1533100500,14751
1533100200,14077
1533099900,13358
1533099600,12419
1533099300,8313
1533099000,7394
1533098700,10345
1533098400,9114
1533098100,7290
1533097800,9056
1533097500,7875
1533097200,6718
1533096900,6316
1533096600,5416
1533096300,4605
1533096000,3978
1533095700,3365
1533095400,2911
1533095100,2519
1533094800,2115
1533094500,1684
1533094200,1307
1533093900,788
1533093600,383
1533093300,295
1533093000,140
1533092700,21
1533092400,4
1533092100,0
1533091800,0
1533091500,0
1533091200,0
1533090900,0
1533090600,0
1533090300,0
1533090000,0
1533089700,0
1533089400,0
1533089100,0
1533088800,0
1533088500,0
1533088200,0
1533087900,0
1533087600,0
1533087300,0
1533087000,0
1533086700,0
1533086400,0
1533086100,0
1533085800,0
1533085500,0
1533085200,0
1533084900,0
1533084600,0
1533084300,0
1533084000,0
1533083700,0
1533083400,0
1533083100,0
1533082800,0
1533082500,0
1533082200,0
1533081900,0
1533081600,0
1533081300,0
1533081000,0
1533080700,0
1533080400,0
1533080100,0
1533079800,0
1533079500,0
1533079200,0
1533078900,0
1533078600,0
1533078300,0
1533078000,0
1533077700,0
1533077400,0
1533077100,0
1533076800,0
1533076500,0
1533076200,0
1533075900,0
1533075600,0
1533075300,0
1533075000,0
1533074700,0
1533074400,0
1533074100,0
1533073800,0
1533073500,0
1533073200,0
1533072900,0
1533072600,0
1533072300,0
1533072000,0
1533071700,0
1533071400,0
1533071100,0
1533070800,0
1533070500,0
1533070200,0
1533069900,0
1533069600,0
1533069300,0
1533069000,0
1533068700,0
1533068400,0
1533068100,0
1533067800,0
1533067500,0
1533067200,0
1533066900,0
1533066600,0
